date,time,lower,upper
2009-07-14,1,0.318,0.578
2009-07-14,2,0.325,0.396
2009-07-14,3,0.301,0.303
2009-07-14,4,0.302,0.415
2009-07-14,5,0.236,0.367
2009-07-14,6,0.29,0.41
2009-07-14,7,0.582,1.8
2009-07-14,8,0.419,0.702
2009-07-14,9,0.519,0.856
2009-07-14,10,0.535,2.084
2009-07-14,11,0.449,0.464
2009-07-14,12,1.04,2.308
2009-07-14,13,0.418,1.098
2009-07-14,14,0.309,0.342
2009-07-14,15,0.358,0.524
2009-07-14,16,1.384,1.532
2009-07-14,17,1.425,4.797
2009-07-14,18,1.517,3.447
2009-07-14,19,0.601,1.897
2009-07-14,20,0.496,1.122
2009-07-14,21,0.472,0.507
2009-07-14,22,0.638,0.638
2009-07-14,23,0.78,0.785
2009-07-14,24,0.705,0.763
2009-07-15,1,0.665,0.934
2009-07-15,2,0.377,0.378
2009-07-15,3,0.38,0.394
2009-07-15,4,0.307,0.388
2009-07-15,5,0.369,0.38
2009-07-15,6,0.298,0.439
2009-07-15,7,0.389,1.663
2009-07-15,8,0.416,2.465
2009-07-15,9,0.325,0.647
2009-07-15,10,0.973,1.256
2009-07-15,11,0.274,0.691
2009-07-15,12,0.377,0.464
2009-07-15,13,0.857,1.934
2009-07-15,14,0.405,0.533
2009-07-15,15,0.326,0.35
2009-07-15,16,0.298,0.509
2009-07-15,17,0.297,0.359
2009-07-15,18,0.999,1.244
2009-07-15,19,0.433,1.804
2009-07-15,20,0.787,1.579
2009-07-15,21,0.852,1.528
2009-07-15,22,0.728,0.781
2009-07-15,23,0.977,1.044
2009-07-15,24,0.937,0.943
2009-07-16,1,0.564,0.96
2009-07-16,2,0.422,0.475
2009-07-16,3,0.347,0.375
2009-07-16,4,0.383,0.432
2009-07-16,5,0.373,0.401
2009-07-16,6,0.293,0.423
2009-07-16,7,0.766,3.088
2009-07-16,8,1.374,1.47
2009-07-16,9,0.531,0.597
2009-07-16,10,0.507,1.004
2009-07-16,11,0.458,0.585
2009-07-16,12,0.231,0.379
2009-07-16,13,0.324,0.332
2009-07-16,14,0.312,0.315
2009-07-16,15,0.244,0.375
2009-07-16,16,0.257,0.317
2009-07-16,17,0.317,0.333
2009-07-16,18,0.225,0.336
2009-07-16,19,0.34,0.986
2009-07-16,20,0.457,0.495
2009-07-16,21,0.383,0.429
2009-07-16,22,0.433,0.481
2009-07-16,23,0.356,0.527
2009-07-16,24,0.304,0.387
2009-07-17,1,0.272,0.35
2009-07-17,2,0.276,0.351
2009-07-17,3,0.314,0.327
2009-07-17,4,0.276,0.333
2009-07-17,5,0.336,0.366
2009-07-17,6,0.199,0.385
2009-07-17,7,0.302,0.337
2009-07-17,8,0.368,1.525
2009-07-17,9,0.253,0.323
2009-07-17,10,0.304,0.31
2009-07-17,11,0.204,0.348
2009-07-17,12,0.327,0.341
2009-07-17,13,0.266,0.292
2009-07-17,14,0.284,0.388
2009-07-17,15,0.202,0.324
2009-07-17,16,0.318,0.329
2009-07-17,17,0.268,0.278
2009-07-17,18,0.28,0.377
2009-07-17,19,0.248,1.416
2009-07-17,20,0.246,0.332
2009-07-17,21,0.321,0.338
2009-07-17,22,0.241,0.314
2009-07-17,23,0.328,0.333
2009-07-17,24,0.25,0.312
2009-07-18,1,0.645,0.659
2009-07-18,2,0.552,0.573
2009-07-18,3,0.296,0.331
2009-07-18,4,0.272,0.379
2009-07-18,5,0.266,0.296
2009-07-18,6,0.319,0.363
2009-07-18,7,0.256,0.286
2009-07-18,8,0.252,0.348
2009-07-18,9,0.317,0.329
2009-07-18,10,0.319,0.645
2009-07-18,11,0.578,0.623
2009-07-18,12,0.504,0.51
2009-07-18,13,0.542,0.825
2009-07-18,14,0.904,1.2
2009-07-18,15,0.681,1.809
2009-07-18,16,0.338,0.42
2009-07-18,17,0.236,0.338
2009-07-18,18,0.29,0.326
2009-07-18,19,0.314,0.924
2009-07-18,20,0.568,2.216
2009-07-18,21,1.39,2.533
2009-07-18,22,0.541,0.693
2009-07-18,23,0.752,1.67
2009-07-18,24,0.65,0.78
2009-07-19,1,0.637,1.125
2009-07-19,2,0.565,0.719
2009-07-19,3,0.688,0.735
2009-07-19,4,0.471,0.631
2009-07-19,5,0.304,0.376
2009-07-19,6,0.363,0.402
2009-07-19,7,0.305,0.394
2009-07-19,8,0.389,0.447
2009-07-19,9,0.282,0.364
2009-07-19,10,0.295,0.398
2009-07-19,11,0.513,0.562
2009-07-19,12,0.324,0.512
2009-07-19,13,0.424,0.55
2009-07-19,14,0.352,1.24
2009-07-19,15,0.378,0.418
2009-07-19,16,0.225,0.441
2009-07-19,17,0.31,0.342
2009-07-19,18,0.346,0.351
2009-07-19,19,0.406,1.287
2009-07-19,20,0.551,0.556
2009-07-19,21,0.396,0.577
2009-07-19,22,0.5,0.544
2009-07-19,23,0.411,0.535
2009-07-19,24,0.282,0.387
2009-07-20,1,0.34,0.387
2009-07-20,2,0.226,0.406
2009-07-20,3,0.329,0.441
2009-07-20,4,0.322,0.338
2009-07-20,5,0.369,0.373
2009-07-20,6,0.261,0.404
2009-07-20,7,0.3,0.326
2009-07-20,8,0.327,1.75
2009-07-20,9,0.267,0.334
2009-07-20,10,0.217,0.426
2009-07-20,11,0.315,0.407
2009-07-20,12,0.24,0.373
2009-07-20,13,0.344,0.396
2009-07-20,14,0.307,0.311
2009-07-20,15,0.331,0.393
2009-07-20,16,0.278,0.381
2009-07-20,17,0.253,0.374
2009-07-20,18,0.345,0.392
2009-07-20,19,0.354,0.419
2009-07-20,20,0.48,0.491
2009-07-20,21,0.657,1.468
2009-07-20,22,0.583,0.607
2009-07-20,23,0.39,0.579
2009-07-20,24,0.311,0.34
2009-07-21,1,0.289,0.42
2009-07-21,2,0.337,0.372
2009-07-21,3,0.23,0.44
2009-07-21,4,0.354,0.396
2009-07-21,5,0.3,0.347
2009-07-21,6,0.376,0.409
2009-07-21,7,0.259,0.386
2009-07-21,8,0.329,1.834
2009-07-21,9,0.286,0.373
2009-07-21,10,0.292,0.345
2009-07-21,11,0.33,0.377
2009-07-21,12,0.276,0.378
2009-07-21,13,0.289,0.348
2009-07-21,14,0.353,0.354
2009-07-21,15,0.268,0.35
2009-07-21,16,0.323,0.421
2009-07-21,17,0.283,0.422
2009-07-21,18,0.325,0.331
2009-07-21,19,0.352,0.463
2009-07-21,20,0.441,0.465
2009-07-21,21,0.515,0.595
2009-07-21,22,0.474,0.518
2009-07-21,23,0.677,0.754
2009-07-21,24,0.542,0.553
2009-07-22,1,0.407,0.489
2009-07-22,2,0.496,0.511
2009-07-22,3,0.438,0.515
2009-07-22,4,0.427,0.511
2009-07-22,5,0.496,0.505
2009-07-22,6,0.438,0.492
2009-07-22,7,0.503,0.515
2009-07-22,8,0.345,1.65
2009-07-22,9,0.313,0.394
2009-07-22,10,0.325,0.353
2009-07-22,11,0.325,0.347
2009-07-22,12,0.344,0.382
2009-07-22,13,0.237,0.427
2009-07-22,14,0.3,0.344
2009-07-22,15,0.315,0.395
2009-07-22,16,0.335,0.369
2009-07-22,17,0.326,0.349
2009-07-22,18,0.32,0.365
2009-07-22,19,0.316,0.424
2009-07-22,20,0.322,0.418
2009-07-22,21,0.303,0.339
2009-07-22,22,0.396,0.804
2009-07-22,23,0.774,1.158
2009-07-22,24,0.301,0.559
2009-07-23,1,0.393,0.405
2009-07-23,2,0.318,0.365
2009-07-23,3,0.376,0.378
2009-07-23,4,0.31,0.344
2009-07-23,5,0.247,0.419
2009-07-23,6,0.274,0.445
2009-07-23,7,0.36,0.386
2009-07-23,8,0.268,1.774
2009-07-23,9,0.357,0.385
2009-07-23,10,0.3,0.321
2009-07-23,11,0.349,0.389
2009-07-23,12,0.304,0.329
2009-07-23,13,0.431,1.599
2009-07-23,14,0.324,0.478
2009-07-23,15,0.357,0.392
2009-07-23,16,0.359,0.412
2009-07-23,17,0.251,0.395
2009-07-23,18,0.364,0.381
2009-07-23,19,0.258,0.569
2009-07-23,20,0.39,0.425
2009-07-23,21,0.411,0.475
2009-07-23,22,0.422,0.459
2009-07-23,23,0.47,1.624
2009-07-23,24,0.797,1.219
2009-07-24,1,0.526,0.699
2009-07-24,2,0.325,0.354
2009-07-24,3,0.279,0.29
2009-07-24,4,0.255,0.383
2009-07-24,5,0.292,0.317
2009-07-24,6,0.247,0.328
2009-07-24,7,0.29,0.388
2009-07-24,8,1.073,2.242
2009-07-24,9,0.291,0.309
2009-07-24,10,0.235,0.362
2009-07-24,11,0.208,0.338
2009-07-24,12,0.278,0.339
2009-07-24,13,0.181,0.395
2009-07-24,14,0.208,0.321
2009-07-24,15,0.286,0.287
2009-07-24,16,0.3,0.307
2009-07-24,17,0.152,0.363
2009-07-24,18,0.312,0.393
2009-07-24,19,0.272,0.316
2009-07-24,20,0.304,1.271
2009-07-24,21,0.272,0.349
2009-07-24,22,0.315,1.39
2009-07-24,23,1.341,1.842
2009-07-24,24,0.729,0.814
2009-07-25,1,0.542,0.638
2009-07-25,2,0.387,0.527
2009-07-25,3,0.264,0.342
2009-07-25,4,0.298,0.343
2009-07-25,5,0.22,0.313
2009-07-25,6,0.305,0.374
2009-07-25,7,0.245,0.314
2009-07-25,8,0.285,0.383
2009-07-25,9,0.243,0.323
2009-07-25,10,0.643,0.885
2009-07-25,11,0.394,0.459
2009-07-25,12,0.42,0.43
2009-07-25,13,0.426,0.49
2009-07-25,14,0.401,0.482
2009-07-25,15,0.473,0.545
2009-07-25,16,0.505,1.377
2009-07-25,17,0.349,0.364
2009-07-25,18,0.401,0.589
2009-07-25,19,0.523,1.738
2009-07-25,20,0.451,0.582
2009-07-25,21,0.373,0.511
2009-07-25,22,0.655,0.787
2009-07-25,23,0.647,0.734
2009-07-25,24,0.44,0.71
2009-07-26,1,0.372,0.411
2009-07-26,2,0.309,0.382
2009-07-26,3,0.395,0.399
2009-07-26,4,0.338,0.345
2009-07-26,5,0.4,0.403
2009-07-26,6,0.281,0.407
2009-07-26,7,0.335,0.374
2009-07-26,8,0.329,0.705
2009-07-26,9,0.752,2.154
2009-07-26,10,0.489,1.28
2009-07-26,11,0.37,0.387
2009-07-26,12,0.368,1.281
2009-07-26,13,1.443,1.46
2009-07-26,14,0.431,0.613
2009-07-26,15,0.458,0.807
2009-07-26,16,0.665,0.688
2009-07-26,17,0.681,0.731
2009-07-26,18,0.632,0.977
2009-07-26,19,0.617,0.632
2009-07-26,20,0.518,0.589
2009-07-26,21,0.591,0.745
2009-07-26,22,0.785,1.651
2009-07-26,23,0.993,1.225
2009-07-26,24,0.779,0.913
2009-07-27,1,0.299,0.594
2009-07-27,2,0.294,0.403
2009-07-27,3,0.308,0.331
2009-07-27,4,0.315,0.405
2009-07-27,5,0.171,0.407
2009-07-27,6,0.306,0.319
2009-07-27,7,0.278,0.666
2009-07-27,8,0.589,1.319
2009-07-27,9,0.544,0.599
2009-07-27,10,0.36,0.389
2009-07-27,11,0.304,0.319
2009-07-27,12,0.398,0.483
2009-07-27,13,0.422,2.158
2009-07-27,14,0.593,0.911
2009-07-27,15,0.318,0.39
2009-07-27,16,0.261,0.411
2009-07-27,17,0.386,1.714
2009-07-27,18,1.011,1.786
2009-07-27,19,1.61,2.128
2009-07-27,20,0.637,1.435
2009-07-27,21,1.296,1.725
2009-07-27,22,0.543,0.704
2009-07-27,23,0.528,0.704
2009-07-27,24,0.377,0.403
2009-07-28,1,0.214,0.392
2009-07-28,2,0.297,0.362
2009-07-28,3,0.32,0.329
2009-07-28,4,0.244,0.391
2009-07-28,5,0.348,0.364
2009-07-28,6,0.298,0.312
2009-07-28,7,0.344,0.755
2009-07-28,8,0.464,1.582
2009-07-28,9,0.473,0.7
2009-07-28,10,0.359,0.408
2009-07-28,11,0.286,0.321
2009-07-28,12,1.2,1.202
2009-07-28,13,0.453,2.977
2009-07-28,14,0.45,0.481
2009-07-28,15,1.126,1.629
2009-07-28,16,0.333,1.335
2009-07-28,17,0.352,0.68
2009-07-28,18,0.629,1.54
2009-07-28,19,0.479,0.686
2009-07-28,20,0.76,1.248
2009-07-28,21,0.869,1.685
2009-07-28,22,0.641,0.671
2009-07-28,23,0.536,0.561
2009-07-28,24,0.26,0.367
2009-07-29,1,0.328,0.38
2009-07-29,2,0.259,0.347
2009-07-29,3,0.279,0.411
2009-07-29,4,0.316,0.322
2009-07-29,5,0.278,0.342
2009-07-29,6,0.328,0.391
2009-07-29,7,0.282,0.698
2009-07-29,8,0.33,1.615
2009-07-29,9,0.28,0.863
2009-07-29,10,0.473,1.764
2009-07-29,11,0.346,0.355
2009-07-29,12,0.605,0.806
2009-07-29,13,1.247,1.476
2009-07-29,14,0.459,0.678
2009-07-29,15,0.309,0.316
2009-07-29,16,0.375,0.55
2009-07-29,17,0.965,2.481
2009-07-29,18,0.66,0.842
2009-07-29,19,0.531,0.7
2009-07-29,20,0.635,0.664
2009-07-29,21,0.547,0.785
2009-07-29,22,0.933,0.957
2009-07-29,23,0.736,0.889
2009-07-29,24,0.693,0.721
2009-07-30,1,0.369,0.55
2009-07-30,2,0.337,0.362
2009-07-30,3,0.272,0.434
2009-07-30,4,0.311,0.448
2009-07-30,5,0.353,0.39
2009-07-30,6,0.258,0.448
2009-07-30,7,0.429,0.567
2009-07-30,8,0.597,2.041
2009-07-30,9,0.702,1.646
2009-07-30,10,1.123,1.735
2009-07-30,11,0.293,0.296
2009-07-30,12,0.809,2.362
2009-07-30,13,0.521,1.489
2009-07-30,14,0.455,0.493
2009-07-30,15,0.338,0.499
2009-07-30,16,0.2,0.389
2009-07-30,17,0.405,0.51
2009-07-30,18,0.31,0.333
2009-07-30,19,0.544,0.739
2009-07-30,20,0.506,0.573
2009-07-30,21,0.387,0.493
2009-07-30,22,0.723,0.738
2009-07-30,23,0.765,0.811
2009-07-30,24,0.708,0.822
2009-07-31,1,0.306,0.767
2009-07-31,2,0.336,0.344
2009-07-31,3,0.273,0.38
2009-07-31,4,0.301,0.346
2009-07-31,5,0.304,0.385
2009-07-31,6,0.294,0.307
2009-07-31,7,0.34,0.371
2009-07-31,8,0.609,1.713
2009-07-31,9,0.343,0.609
2009-07-31,10,0.35,0.358
2009-07-31,11,0.268,0.319
2009-07-31,12,0.279,0.406
2009-07-31,13,0.307,0.435
2009-07-31,14,0.209,0.556
2009-07-31,15,0.301,0.356
2009-07-31,16,0.241,0.344
2009-07-31,17,0.578,0.745
2009-07-31,18,0.665,0.995
2009-07-31,19,0.601,0.782
2009-07-31,20,0.481,0.536
