date,time,lower,upper
2009-07-14,1,0.343,0.383
2009-07-14,2,0.2,0.218
2009-07-14,3,0.149,0.172
2009-07-14,4,0.18,0.211
2009-07-14,5,0.149,0.196
2009-07-14,6,0.146,0.192
2009-07-14,7,0.776,2.845
2009-07-14,8,0.176,1.526
2009-07-14,9,0.306,2.548
2009-07-14,10,0.156,0.22
2009-07-14,11,0.144,0.151
2009-07-14,12,0.145,0.228
2009-07-14,13,0.145,0.233
2009-07-14,14,0.145,0.145
2009-07-14,15,0.152,0.229
2009-07-14,16,0.144,0.209
2009-07-14,17,0.142,0.168
2009-07-14,18,0.191,0.23
2009-07-14,19,0.228,0.237
2009-07-14,20,0.95,1.689
2009-07-14,21,0.504,1.46
2009-07-14,22,0.496,0.52
2009-07-14,23,0.379,0.587
2009-07-14,24,0.57,0.575
2009-07-15,1,0.347,0.48
2009-07-15,2,0.228,0.274
2009-07-15,3,0.145,0.155
2009-07-15,4,0.154,0.227
2009-07-15,5,0.145,0.22
2009-07-15,6,0.145,0.161
2009-07-15,7,1.846,2.016
2009-07-15,8,0.306,1.058
2009-07-15,9,0.282,0.662
2009-07-15,10,0.225,0.424
2009-07-15,11,0.146,0.661
2009-07-15,12,0.212,1.54
2009-07-15,13,0.162,0.267
2009-07-15,14,0.147,0.22
2009-07-15,15,0.146,0.161
2009-07-15,16,0.214,0.217
2009-07-15,17,0.145,0.146
2009-07-15,18,0.199,0.226
2009-07-15,19,0.218,1.917
2009-07-15,20,0.175,1.377
2009-07-15,21,0.204,0.244
2009-07-15,22,0.263,0.275
2009-07-15,23,2.612,3.376
2009-07-15,24,0.695,1.501
2009-07-16,1,0.205,0.367
2009-07-16,2,0.151,0.227
2009-07-16,3,0.186,0.246
2009-07-16,4,0.154,0.174
2009-07-16,5,0.179,0.215
2009-07-16,6,0.149,0.215
2009-07-16,7,0.7,2.773
2009-07-16,8,0.415,1.321
2009-07-16,9,0.217,0.225
2009-07-16,10,0.247,1.718
2009-07-16,11,0.204,0.273
2009-07-16,12,0.194,0.218
2009-07-16,13,0.149,0.168
2009-07-16,14,0.148,0.338
2009-07-16,15,0.182,0.242
2009-07-16,16,0.147,0.164
2009-07-16,17,0.161,0.205
2009-07-16,18,0.146,0.185
2009-07-16,19,1.98,2.055
2009-07-16,20,0.381,0.53
2009-07-16,21,0.582,0.613
2009-07-16,22,0.425,1.065
2009-07-16,23,0.549,1.075
2009-07-16,24,0.348,0.413
2009-07-17,1,0.174,0.418
2009-07-17,2,0.162,0.225
2009-07-17,3,0.156,0.227
2009-07-17,4,0.156,0.251
2009-07-17,5,0.155,0.196
2009-07-17,6,0.171,0.254
2009-07-17,7,1.933,3.66
2009-07-17,8,0.285,1.815
2009-07-17,9,0.197,0.289
2009-07-17,10,0.224,0.249
2009-07-17,11,0.152,0.153
2009-07-17,12,0.195,2.312
2009-07-17,13,0.152,0.152
2009-07-17,14,0.637,0.9
2009-07-17,15,0.323,0.356
2009-07-17,16,0.173,0.221
2009-07-17,17,0.149,0.228
2009-07-17,18,0.172,0.262
2009-07-17,19,0.261,1.786
2009-07-17,20,0.307,0.438
2009-07-17,21,0.226,1.262
2009-07-17,22,0.376,0.478
2009-07-17,23,0.504,2.414
2009-07-17,24,0.324,0.378
2009-07-18,1,0.279,0.295
2009-07-18,2,0.34,0.413
2009-07-18,3,0.447,0.612
2009-07-18,4,0.278,0.365
2009-07-18,5,0.245,0.36
2009-07-18,6,0.242,0.326
2009-07-18,7,0.885,2.664
2009-07-18,8,0.325,0.501
2009-07-18,9,0.146,0.234
2009-07-18,10,0.144,0.145
2009-07-18,11,0.149,0.231
2009-07-18,12,0.199,0.323
2009-07-18,13,0.278,2.157
2009-07-18,14,2.637,3.778
2009-07-18,15,0.431,3.016
2009-07-18,16,0.27,1.245
2009-07-18,17,1.536,1.849
2009-07-18,18,0.275,0.304
2009-07-18,19,0.675,0.988
2009-07-18,20,1.271,2.109
2009-07-18,21,1.289,2.351
2009-07-18,22,0.28,0.364
2009-07-18,23,0.32,0.386
2009-07-18,24,0.192,0.419
2009-07-19,1,0.149,0.211
2009-07-19,2,0.149,0.178
2009-07-19,3,0.216,0.217
2009-07-19,4,0.149,0.149
2009-07-19,5,0.149,0.233
2009-07-19,6,0.148,0.232
2009-07-19,7,0.652,2.635
2009-07-19,8,0.146,0.611
2009-07-19,9,0.147,0.227
2009-07-19,10,0.151,0.156
2009-07-19,11,0.178,0.259
2009-07-19,12,0.144,0.229
2009-07-19,13,1.017,3.165
2009-07-19,14,0.339,2.135
2009-07-19,15,0.238,0.242
2009-07-19,16,0.146,0.172
2009-07-19,17,0.216,0.231
2009-07-19,18,0.164,0.28
2009-07-19,19,0.322,0.433
2009-07-19,20,0.948,1.29
2009-07-19,21,0.287,0.36
2009-07-19,22,1.116,2.453
2009-07-19,23,0.467,0.553
2009-07-19,24,0.193,0.259
2009-07-20,1,0.164,0.275
2009-07-20,2,0.148,0.218
2009-07-20,3,0.165,0.217
2009-07-20,4,0.148,0.168
2009-07-20,5,0.154,0.213
2009-07-20,6,0.167,0.213
2009-07-20,7,1.662,3.409
2009-07-20,8,0.207,0.357
2009-07-20,9,0.507,2.406
2009-07-20,10,0.144,0.155
2009-07-20,11,0.142,0.219
2009-07-20,12,0.144,0.231
2009-07-20,13,0.145,0.145
2009-07-20,14,0.153,0.225
2009-07-20,15,0.146,0.211
2009-07-20,16,0.145,0.17
2009-07-20,17,0.184,0.194
2009-07-20,18,0.145,0.22
2009-07-20,19,0.28,0.903
2009-07-20,20,0.264,0.594
2009-07-20,21,1.264,2.755
2009-07-20,22,0.48,2.301
2009-07-20,23,0.493,0.528
2009-07-20,24,0.49,0.551
2009-07-21,1,0.5,0.525
2009-07-21,2,0.284,0.292
2009-07-21,3,0.153,0.158
2009-07-21,4,0.149,0.226
2009-07-21,5,0.172,0.206
2009-07-21,6,0.146,0.183
2009-07-21,7,0.815,2.747
2009-07-21,8,0.167,0.661
2009-07-21,9,0.146,0.208
2009-07-21,10,0.145,0.169
2009-07-21,11,0.174,0.202
2009-07-21,12,0.993,1.99
2009-07-21,13,0.145,0.269
2009-07-21,14,0.186,0.19
2009-07-21,15,0.145,0.179
2009-07-21,16,0.146,0.202
2009-07-21,17,0.169,0.212
2009-07-21,18,0.147,0.206
2009-07-21,19,0.895,2.094
2009-07-21,20,1.21,2.055
