date,time,lower,upper
2009-07-20,21,0.773,0.922
2009-07-20,22,0.623,0.839
2009-07-20,23,0.829,0.86
2009-07-20,24,0.686,0.989
2009-07-21,1,0.798,0.898
2009-07-21,2,0.564,0.794
2009-07-21,3,0.665,0.763
2009-07-21,4,0.344,0.719
2009-07-21,5,0.483,0.537
2009-07-21,6,0.548,0.764
2009-07-21,7,0.323,0.585
2009-07-21,8,0.24,0.562
2009-07-21,9,0.421,0.558
2009-07-21,10,0.614,0.777
2009-07-21,11,0.276,0.613
2009-07-21,12,0.543,0.689
2009-07-21,13,0.546,0.679
2009-07-21,14,0.66,0.698
2009-07-21,15,0.77,2.021
2009-07-21,16,1.046,1.584
2009-07-21,17,1.062,1.23
2009-07-21,18,0.44,1.099
2009-07-21,19,0.765,0.81
2009-07-21,20,0.581,0.87
2009-07-21,21,0.837,0.906
2009-07-21,22,0.631,0.85
2009-07-21,23,0.995,1.073
2009-07-21,24,0.576,0.9
2009-07-22,1,0.609,0.823
2009-07-22,2,0.492,0.499
2009-07-22,3,0.553,0.56
2009-07-22,4,0.283,0.535
2009-07-22,5,0.253,0.594
2009-07-22,6,0.501,0.506
2009-07-22,7,0.272,0.448
2009-07-22,8,0.467,0.5
2009-07-22,9,0.281,0.663
2009-07-22,10,0.708,1.114
2009-07-22,11,0.241,0.801
2009-07-22,12,0.51,1.03
2009-07-22,13,0.557,0.676
2009-07-22,14,0.567,1.874
2009-07-22,15,0.398,0.555
2009-07-22,16,0.597,0.685
2009-07-22,17,0.34,0.654
2009-07-22,18,0.149,0.501
2009-07-22,19,0.455,0.501
2009-07-22,20,0.171,3.848
2009-07-22,21,1.765,2.982
2009-07-22,22,1.233,2.266
2009-07-22,23,0.907,1.264
2009-07-22,24,1.404,2.132
2009-07-23,1,0.642,1.568
2009-07-23,2,0.689,0.708
2009-07-23,3,0.304,0.546
2009-07-23,4,0.33,0.463
2009-07-23,5,0.305,0.482
2009-07-23,6,0.446,0.456
