date,time,lower,upper
2009-07-14,1,0.169,0.238
2009-07-14,2,0.191,0.234
2009-07-14,3,0.093,0.2
2009-07-14,4,0.141,0.164
2009-07-14,5,0.102,0.155
2009-07-14,6,0.1,0.197
2009-07-14,7,0.108,0.984
2009-07-14,8,0.276,2.419
2009-07-14,9,0.278,0.324
2009-07-14,10,0.172,0.222
2009-07-14,11,0.159,0.216
2009-07-14,12,0.087,0.133
2009-07-14,13,0.104,0.141
2009-07-14,14,0.305,0.408
2009-07-14,15,0.305,0.352
2009-07-14,16,0.271,0.473
2009-07-14,17,0.287,0.343
2009-07-14,18,0.534,0.574
2009-07-14,19,0.475,0.52
2009-07-14,20,0.896,1.066
2009-07-14,21,0.983,1.134
2009-07-14,22,0.357,0.509
2009-07-14,23,0.606,0.86
2009-07-14,24,0.082,0.638
2009-07-15,1,0.158,0.17
2009-07-15,2,0.092,0.156
2009-07-15,3,0.087,0.118
2009-07-15,4,0.086,0.18
2009-07-15,5,0.18,0.2
2009-07-15,6,0.192,0.215
2009-07-15,7,0.087,1.074
2009-07-15,8,0.602,1.984
2009-07-15,9,0.816,1.042
2009-07-15,10,0.277,0.294
2009-07-15,11,0.239,0.256
2009-07-15,12,0.296,0.325
2009-07-15,13,0.238,0.254
2009-07-15,14,0.516,0.545
2009-07-15,15,0.297,0.392
2009-07-15,16,0.277,0.384
2009-07-15,17,1.035,1.144
2009-07-15,18,0.909,1.227
2009-07-15,19,1.386,1.788
2009-07-15,20,0.318,0.445
2009-07-15,21,0.292,0.323
2009-07-15,22,0.399,0.574
2009-07-15,23,0.527,0.878
2009-07-15,24,0.61,0.73
2009-07-16,1,0.101,0.584
2009-07-16,2,0.1,0.168
2009-07-16,3,0.142,0.156
2009-07-16,4,0.092,0.093
2009-07-16,5,0.092,0.211
2009-07-16,6,0.132,0.158
2009-07-16,7,0.094,0.974
2009-07-16,8,0.28,2.203
2009-07-16,9,0.228,0.3
2009-07-16,10,0.093,0.15
2009-07-16,11,0.091,0.138
2009-07-16,12,0.143,0.146
2009-07-16,13,0.084,0.275
2009-07-16,14,0.341,0.383
2009-07-16,15,0.266,0.285
2009-07-16,16,0.267,0.356
2009-07-16,17,0.269,0.349
2009-07-16,18,0.293,0.7
2009-07-16,19,0.653,1.173
2009-07-16,20,1.71,2.362
2009-07-16,21,0.503,0.626
2009-07-16,22,0.446,0.479
2009-07-16,23,0.376,0.598
2009-07-16,24,0.611,0.72
2009-07-17,1,0.081,0.212
2009-07-17,2,0.101,0.207
2009-07-17,3,0.097,0.159
2009-07-17,4,0.084,0.17
2009-07-17,5,0.096,0.155
2009-07-17,6,0.076,0.204
2009-07-17,7,0.121,0.987
2009-07-17,8,0.181,2.338
2009-07-17,9,0.392,0.428
2009-07-17,10,0.142,0.147
2009-07-17,11,0.08,0.106
2009-07-17,12,0.089,0.209
2009-07-17,13,0.12,0.135
2009-07-17,14,0.236,0.265
2009-07-17,15,0.267,0.316
2009-07-17,16,0.378,0.631
2009-07-17,17,0.375,0.445
2009-07-17,18,0.486,0.722
2009-07-17,19,1.126,1.994
2009-07-17,20,0.115,1.217
2009-07-17,21,0.16,0.215
2009-07-17,22,0.139,0.151
2009-07-17,23,0.108,0.13
2009-07-17,24,0.161,0.379
2009-07-18,1,0.148,0.159
2009-07-18,2,0.089,0.11
2009-07-18,3,0.204,0.48
2009-07-18,4,0.573,0.578
2009-07-18,5,0.524,0.595
2009-07-18,6,0.545,0.606
2009-07-18,7,0.252,1.113
2009-07-18,8,0.087,1.412
2009-07-18,9,1.19,1.968
2009-07-18,10,0.587,0.724
2009-07-18,11,0.35,1.049
2009-07-18,12,0.252,0.416
2009-07-18,13,0.186,0.353
2009-07-18,14,0.206,0.481
2009-07-18,15,0.349,0.512
2009-07-18,16,0.14,0.215
2009-07-18,17,0.121,0.198
2009-07-18,18,0.129,0.198
2009-07-18,19,0.133,0.165
2009-07-18,20,0.127,0.192
2009-07-18,21,0.118,0.195
2009-07-18,22,0.102,0.194
2009-07-18,23,0.147,1.017
2009-07-18,24,0.676,0.713
2009-07-19,1,0.409,0.493
2009-07-19,2,0.167,0.176
2009-07-19,3,0.16,0.22
2009-07-19,4,0.203,0.218
2009-07-19,5,0.103,0.113
2009-07-19,6,0.145,0.192
2009-07-19,7,0.269,1.2
2009-07-19,8,0.11,1.629
2009-07-19,9,0.138,0.549
2009-07-19,10,0.362,0.418
2009-07-19,11,1.306,2.205
2009-07-19,12,0.252,0.977
2009-07-19,13,0.456,1.662
2009-07-19,14,0.304,2.315
2009-07-19,15,0.924,1.326
2009-07-19,16,1.961,2.068
2009-07-19,17,0.427,0.557
2009-07-19,18,0.412,0.514
2009-07-19,19,0.889,2.3
2009-07-19,20,0.46,1.532
2009-07-19,21,0.451,0.475
2009-07-19,22,0.603,0.842
2009-07-19,23,0.662,0.909
2009-07-19,24,0.474,0.871
2009-07-20,1,0.136,0.194
2009-07-20,2,0.215,0.249
2009-07-20,3,0.109,0.209
2009-07-20,4,0.092,0.148
2009-07-20,5,0.123,0.188
2009-07-20,6,0.083,0.119
2009-07-20,7,0.199,0.936
2009-07-20,8,0.413,1.676
2009-07-20,9,0.235,0.961
2009-07-20,10,0.278,0.291
2009-07-20,11,0.606,1.294
2009-07-20,12,0.256,0.416
2009-07-20,13,0.116,0.163
2009-07-20,14,0.187,0.219
2009-07-20,15,0.276,1.271
2009-07-20,16,0.406,1.457
2009-07-20,17,1.171,2.01
2009-07-20,18,0.618,1.389
2009-07-20,19,1.449,1.561
2009-07-20,20,0.416,0.473
2009-07-20,21,0.512,0.537
2009-07-20,22,0.579,0.84
2009-07-20,23,1.038,1.082
2009-07-20,24,0.736,0.767
2009-07-21,1,0.149,0.2
2009-07-21,2,0.096,0.21
2009-07-21,3,0.079,0.131
2009-07-21,4,0.086,0.169
2009-07-21,5,0.111,0.138
2009-07-21,6,0.087,0.104
2009-07-21,7,0.174,1.058
2009-07-21,8,1.12,2.343
2009-07-21,9,0.27,1.067
2009-07-21,10,0.086,0.373
2009-07-21,11,0.128,0.146
2009-07-21,12,0.112,0.12
2009-07-21,13,0.093,0.496
2009-07-21,14,1.193,1.279
2009-07-21,15,0.977,1.523
2009-07-21,16,0.225,0.236
2009-07-21,17,0.28,0.328
2009-07-21,18,0.623,0.666
2009-07-21,19,0.333,0.349
2009-07-21,20,0.28,0.373
2009-07-21,21,0.898,1.311
2009-07-21,22,0.267,0.527
2009-07-21,23,1.007,1.531
2009-07-21,24,0.635,0.863
2009-07-22,1,0.109,0.188
2009-07-22,2,0.095,0.154
2009-07-22,3,0.15,0.163
2009-07-22,4,0.157,0.216
2009-07-22,5,0.097,0.216
2009-07-22,6,0.132,0.148
2009-07-22,7,0.101,1.102
2009-07-22,8,0.257,1.993
2009-07-22,9,0.106,1.563
2009-07-22,10,0.808,0.946
2009-07-22,11,0.102,0.204
2009-07-22,12,0.097,0.183
2009-07-22,13,0.111,0.121
2009-07-22,14,0.391,0.434
2009-07-22,15,0.398,0.616
2009-07-22,16,0.355,0.355
2009-07-22,17,0.31,0.364
2009-07-22,18,0.344,0.754
2009-07-22,19,0.393,0.442
2009-07-22,20,1.924,2.278
2009-07-22,21,0.318,1.438
2009-07-22,22,0.285,0.51
2009-07-22,23,0.578,0.701
2009-07-22,24,0.466,0.822
2009-07-23,1,0.178,0.23
2009-07-23,2,0.099,0.144
2009-07-23,3,0.094,0.151
2009-07-23,4,0.146,0.152
2009-07-23,5,0.094,0.172
2009-07-23,6,0.092,0.128
2009-07-23,7,0.172,0.966
2009-07-23,8,0.31,2.268
2009-07-23,9,0.475,1.173
2009-07-23,10,0.092,0.176
2009-07-23,11,0.137,0.171
2009-07-23,12,0.084,0.092
2009-07-23,13,0.203,0.339
2009-07-23,14,0.327,0.39
2009-07-23,15,0.344,0.386
2009-07-23,16,0.602,0.603
2009-07-23,17,0.5,0.731
2009-07-23,18,0.351,0.568
2009-07-23,19,0.403,0.748
2009-07-23,20,1.091,2.85
2009-07-23,21,0.562,0.609
2009-07-23,22,0.708,0.799
2009-07-23,23,0.732,0.809
2009-07-23,24,0.447,0.679
2009-07-24,1,0.096,0.146
2009-07-24,2,0.145,0.221
2009-07-24,3,0.085,0.091
2009-07-24,4,0.187,0.191
2009-07-24,5,0.211,0.25
2009-07-24,6,0.121,0.193
2009-07-24,7,0.096,1.024
2009-07-24,8,0.618,2.104
2009-07-24,9,0.417,1.783
2009-07-24,10,0.747,0.913
2009-07-24,11,0.076,0.203
2009-07-24,12,0.087,0.133
2009-07-24,13,0.072,0.191
2009-07-24,14,0.124,0.165
2009-07-24,15,0.125,0.218
2009-07-24,16,0.155,0.174
2009-07-24,17,1.065,1.188
2009-07-24,18,0.757,1.142
2009-07-24,19,0.685,1.073
2009-07-24,20,1.629,2.076
2009-07-24,21,0.502,1.479
2009-07-24,22,0.54,0.633
2009-07-24,23,0.734,0.818
2009-07-24,24,0.138,0.555
2009-07-25,1,0.104,0.117
2009-07-25,2,0.098,0.217
2009-07-25,3,0.094,0.135
2009-07-25,4,0.184,0.203
2009-07-25,5,0.226,0.41
2009-07-25,6,0.234,0.323
2009-07-25,7,0.272,1.163
2009-07-25,8,0.237,2.176
2009-07-25,9,1.261,1.715
2009-07-25,10,0.688,1.343
2009-07-25,11,0.364,1.132
