date,time,lower,upper
2009-07-14,1,0.066,0.067
2009-07-14,2,0.067,0.13
2009-07-14,3,0.07,0.131
2009-07-14,4,0.068,0.074
2009-07-14,5,0.069,0.128
2009-07-14,6,0.074,0.129
2009-07-14,7,0.068,0.069
2009-07-14,8,0.067,0.131
2009-07-14,9,0.083,0.107
2009-07-14,10,0.065,0.114
2009-07-14,11,0.064,0.08
2009-07-14,12,0.074,0.124
2009-07-14,13,0.066,0.131
2009-07-14,14,0.066,0.067
2009-07-14,15,0.067,0.132
2009-07-14,16,0.079,0.118
2009-07-14,17,0.067,0.113
2009-07-14,18,0.066,0.083
2009-07-14,19,0.065,0.128
2009-07-14,20,0.087,0.106
2009-07-14,21,0.066,0.117
2009-07-14,22,0.065,0.076
2009-07-14,23,0.063,0.126
2009-07-14,24,0.064,0.128
2009-07-15,1,0.065,0.078
2009-07-15,2,0.067,0.118
2009-07-15,3,0.092,0.108
2009-07-15,4,0.068,0.102
2009-07-15,5,0.069,0.099
2009-07-15,6,0.097,0.105
2009-07-15,7,0.068,0.102
2009-07-15,8,0.067,0.096
2009-07-15,9,0.076,0.119
2009-07-15,10,0.064,0.113
2009-07-15,11,0.066,0.081
2009-07-15,12,0.081,0.115
2009-07-15,13,0.065,0.125
2009-07-15,14,0.065,0.071
2009-07-15,15,0.066,0.13
2009-07-15,16,0.078,0.118
2009-07-15,17,0.066,0.125
2009-07-15,18,0.072,0.078
2009-07-15,19,0.064,0.116
2009-07-15,20,0.065,0.125
2009-07-15,21,0.083,0.108
2009-07-15,22,0.065,0.126
2009-07-15,23,0.063,0.107
2009-07-15,24,0.067,0.084
2009-07-16,1,0.068,0.129
2009-07-16,2,0.089,0.104
2009-07-16,3,0.066,0.126
2009-07-16,4,0.067,0.068
2009-07-16,5,0.067,0.128
2009-07-16,6,0.09,0.106
2009-07-16,7,0.066,0.116
2009-07-16,8,0.066,0.078
2009-07-16,9,0.066,0.127
2009-07-16,10,0.066,0.128
2009-07-16,11,0.066,0.099
2009-07-16,12,0.064,0.096
2009-07-16,13,0.064,0.126
2009-07-16,14,0.064,0.126
2009-07-16,15,0.064,0.094
2009-07-16,16,0.066,0.101
2009-07-16,17,0.067,0.127
2009-07-16,18,0.066,0.129
2009-07-16,19,0.066,0.093
2009-07-16,20,0.067,0.105
2009-07-16,21,0.067,0.129
2009-07-16,22,0.067,0.129
2009-07-16,23,0.067,0.086
2009-07-16,24,0.067,0.108
2009-07-17,1,0.082,0.115
2009-07-17,2,0.069,0.131
2009-07-17,3,0.069,0.069
2009-07-17,4,0.068,0.13
2009-07-17,5,0.068,0.131
2009-07-17,6,0.068,0.075
2009-07-17,7,0.068,0.123
2009-07-17,8,0.084,0.116
2009-07-17,9,0.066,0.107
2009-07-17,10,0.063,0.084
2009-07-17,11,0.072,0.117
2009-07-17,12,0.064,0.126
2009-07-17,13,0.063,0.064
2009-07-17,14,0.065,0.126
2009-07-17,15,0.086,0.105
2009-07-17,16,0.065,0.128
2009-07-17,17,0.065,0.081
2009-07-17,18,0.066,0.112
2009-07-17,19,0.066,0.125
2009-07-17,20,0.071,0.123
2009-07-17,21,0.075,0.12
2009-07-17,22,0.067,0.126
2009-07-17,23,0.065,0.069
2009-07-17,24,0.065,0.126
2009-07-18,1,0.08,0.112
2009-07-18,2,0.064,0.125
2009-07-18,3,0.065,0.078
2009-07-18,4,0.065,0.112
2009-07-18,5,0.082,0.109
2009-07-18,6,0.066,0.128
2009-07-18,7,0.066,0.066
2009-07-18,8,0.066,0.128
2009-07-18,9,0.073,0.118
2009-07-18,10,0.064,0.095
2009-07-18,11,0.065,0.098
2009-07-18,12,0.065,0.126
2009-07-18,13,0.065,0.127
2009-07-18,14,0.065,0.098
2009-07-18,15,0.066,0.095
2009-07-18,16,0.066,0.129
2009-07-18,17,0.067,0.129
2009-07-18,18,0.065,0.105
2009-07-18,19,0.067,0.089
2009-07-18,20,0.067,0.128
2009-07-18,21,0.092,0.103
2009-07-18,22,0.067,0.127
2009-07-18,23,0.066,0.069
2009-07-18,24,0.067,0.127
2009-07-19,1,0.093,0.103
2009-07-19,2,0.068,0.131
2009-07-19,3,0.068,0.069
2009-07-19,4,0.069,0.131
2009-07-19,5,0.071,0.124
2009-07-19,6,0.067,0.091
2009-07-19,7,0.068,0.107
2009-07-19,8,0.092,0.106
2009-07-19,9,0.068,0.121
2009-07-19,10,0.066,0.076
2009-07-19,11,0.065,0.129
2009-07-19,12,0.064,0.127
2009-07-19,13,0.065,0.087
2009-07-19,14,0.067,0.109
2009-07-19,15,0.071,0.127
2009-07-19,16,0.077,0.12
2009-07-19,17,0.066,0.128
2009-07-19,18,0.066,0.095
2009-07-19,19,0.066,0.097
2009-07-19,20,0.067,0.128
2009-07-19,21,0.094,0.102
2009-07-19,22,0.067,0.128
2009-07-19,23,0.066,0.086
2009-07-19,24,0.066,0.106
2009-07-20,1,0.068,0.126
2009-07-20,2,0.066,0.128
2009-07-20,3,0.067,0.085
2009-07-20,4,0.068,0.112
2009-07-20,5,0.089,0.109
2009-07-20,6,0.068,0.127
2009-07-20,7,0.067,0.072
2009-07-20,8,0.065,0.128
2009-07-20,9,0.083,0.107
2009-07-20,10,0.065,0.098
2009-07-20,11,0.064,0.092
2009-07-20,12,0.076,0.117
2009-07-20,13,0.064,0.128
2009-07-20,14,0.065,0.065
2009-07-20,15,0.065,0.128
2009-07-20,16,0.087,0.104
2009-07-20,17,0.065,0.128
2009-07-20,18,0.065,0.092
2009-07-20,19,0.067,0.102
2009-07-20,20,0.066,0.129
2009-07-20,21,0.075,0.121
2009-07-20,22,0.065,0.114
2009-07-20,23,0.067,0.081
2009-07-20,24,0.066,0.128
2009-07-21,1,0.078,0.117
2009-07-21,2,0.068,0.113
2009-07-21,3,0.069,0.087
2009-07-21,4,0.069,0.131
2009-07-21,5,0.069,0.132
2009-07-21,6,0.069,0.079
2009-07-21,7,0.069,0.122
2009-07-21,8,0.095,0.102
2009-07-21,9,0.065,0.127
2009-07-21,10,0.064,0.064
2009-07-21,11,0.064,0.127
2009-07-21,12,0.064,0.128
2009-07-21,13,0.064,0.096
2009-07-21,14,0.066,0.1
2009-07-21,15,0.067,0.132
2009-07-21,16,0.088,0.112
2009-07-21,17,0.067,0.132
2009-07-21,18,0.066,0.102
2009-07-21,19,0.065,0.092
2009-07-21,20,0.065,0.128
2009-07-21,21,0.071,0.122
2009-07-21,22,0.073,0.12
2009-07-21,23,0.064,0.123
2009-07-21,24,0.068,0.069
2009-07-22,1,0.066,0.127
2009-07-22,2,0.083,0.114
2009-07-22,3,0.068,0.131
2009-07-22,4,0.068,0.09
2009-07-22,5,0.068,0.11
2009-07-22,6,0.076,0.124
2009-07-22,7,0.068,0.13
2009-07-22,8,0.067,0.08
2009-07-22,9,0.065,0.117
2009-07-22,10,0.079,0.111
2009-07-22,11,0.063,0.127
2009-07-22,12,0.064,0.071
2009-07-22,13,0.065,0.124
2009-07-22,14,0.085,0.11
2009-07-22,15,0.066,0.13
2009-07-22,16,0.066,0.11
2009-07-22,17,0.066,0.086
2009-07-22,18,0.066,0.129
2009-07-22,19,0.078,0.117
2009-07-22,20,0.079,0.112
2009-07-22,21,0.065,0.126
2009-07-22,22,0.063,0.079
2009-07-22,23,0.067,0.113
2009-07-22,24,0.067,0.128
2009-07-23,1,0.067,0.13
2009-07-23,2,0.068,0.109
2009-07-23,3,0.069,0.091
2009-07-23,4,0.065,0.127
2009-07-23,5,0.069,0.124
2009-07-23,6,0.065,0.101
2009-07-23,7,0.064,0.092
2009-07-23,8,0.069,0.127
2009-07-23,9,0.064,0.127
2009-07-23,10,0.066,0.075
2009-07-23,11,0.065,0.121
2009-07-23,12,0.087,0.107
2009-07-23,13,0.065,0.128
2009-07-23,14,0.065,0.076
2009-07-23,15,0.065,0.119
2009-07-23,16,0.069,0.125
2009-07-23,17,0.081,0.114
2009-07-23,18,0.065,0.127
2009-07-23,19,0.065,0.096
2009-07-23,20,0.066,0.098
2009-07-23,21,0.064,0.13
2009-07-23,22,0.094,0.097
2009-07-23,23,0.066,0.129
2009-07-23,24,0.067,0.081
2009-07-24,1,0.065,0.112
2009-07-24,2,0.075,0.119
2009-07-24,3,0.067,0.13
2009-07-24,4,0.068,0.081
2009-07-24,5,0.067,0.117
2009-07-24,6,0.091,0.107
2009-07-24,7,0.067,0.127
2009-07-24,8,0.067,0.068
2009-07-24,9,0.064,0.127
2009-07-24,10,0.067,0.129
2009-07-24,11,0.066,0.091
2009-07-24,12,0.065,0.103
2009-07-24,13,0.075,0.118
2009-07-24,14,0.065,0.13
2009-07-24,15,0.066,0.105
2009-07-24,16,0.065,0.09
2009-07-24,17,0.065,0.128
2009-07-24,18,0.0,0.034
2009-07-24,19,0.072,0.138
2009-07-24,20,0.088,0.105
2009-07-24,21,0.068,0.123
2009-07-24,22,0.066,0.126
2009-07-24,23,0.065,0.086
2009-07-24,24,0.066,0.104
2009-07-25,1,0.067,0.126
2009-07-25,2,0.089,0.104
2009-07-25,3,0.066,0.127
2009-07-25,4,0.067,0.067
2009-07-25,5,0.068,0.128
2009-07-25,6,0.091,0.106
2009-07-25,7,0.068,0.128
2009-07-25,8,0.067,0.067
2009-07-25,9,0.066,0.128
2009-07-25,10,0.081,0.106
2009-07-25,11,0.063,0.125
2009-07-25,12,0.063,0.069
2009-07-25,13,0.064,0.12
2009-07-25,14,0.076,0.112
2009-07-25,15,0.063,0.128
2009-07-25,16,0.394,0.465
2009-07-25,17,0.25,0.305
2009-07-25,18,0.251,1.843
2009-07-25,19,0.179,0.431
2009-07-25,20,0.112,0.367
2009-07-25,21,0.315,0.377
2009-07-25,22,0.374,0.477
2009-07-25,23,0.217,0.24
2009-07-25,24,0.097,0.155
2009-07-26,1,0.1,0.144
2009-07-26,2,0.106,0.113
2009-07-26,3,0.098,0.136
2009-07-26,4,0.123,0.154
2009-07-26,5,0.214,0.254
2009-07-26,6,0.205,0.261
2009-07-26,7,0.207,0.265
2009-07-26,8,0.144,0.211
2009-07-26,9,0.156,0.192
2009-07-26,10,1.708,3.683
2009-07-26,11,1.23,2.31
2009-07-26,12,0.31,0.382
2009-07-26,13,0.284,0.32
2009-07-26,14,0.072,0.338
2009-07-26,15,0.231,1.026
2009-07-26,16,0.581,2.394
2009-07-26,17,3.12,3.49
2009-07-26,18,1.558,1.722
2009-07-26,19,0.487,0.904
2009-07-26,20,0.303,0.351
2009-07-26,21,0.292,0.327
2009-07-26,22,0.462,0.507
2009-07-26,23,0.408,0.451
2009-07-26,24,0.267,0.299
2009-07-27,1,0.253,0.276
2009-07-27,2,0.211,0.265
2009-07-27,3,0.213,0.266
2009-07-27,4,0.215,0.267
2009-07-27,5,0.215,0.269
2009-07-27,6,0.215,0.267
2009-07-27,7,0.154,0.166
2009-07-27,8,0.102,0.133
2009-07-27,9,0.121,0.41
2009-07-27,10,0.496,1.48
2009-07-27,11,0.166,0.469
2009-07-27,12,0.082,0.545
2009-07-27,13,0.09,0.09
2009-07-27,14,0.084,0.098
2009-07-27,15,0.075,0.104
2009-07-27,16,0.082,0.101
2009-07-27,17,0.21,1.242
2009-07-27,18,0.284,0.345
2009-07-27,19,1.627,2.565
2009-07-27,20,0.357,0.36
2009-07-27,21,0.394,0.713
2009-07-27,22,0.349,0.4
2009-07-27,23,0.364,0.4
2009-07-27,24,0.658,1.165
2009-07-28,1,0.507,0.715
2009-07-28,2,0.106,0.233
2009-07-28,3,0.105,0.159
2009-07-28,4,0.106,0.161
2009-07-28,5,0.124,0.145
2009-07-28,6,0.112,0.157
2009-07-28,7,0.106,0.164
2009-07-28,8,0.104,0.104
2009-07-28,9,0.066,0.094
2009-07-28,10,0.066,0.438
2009-07-28,11,0.358,0.997
2009-07-28,12,0.068,0.12
2009-07-28,13,0.073,0.121
2009-07-28,14,0.089,0.53
2009-07-28,15,0.22,0.4
2009-07-28,16,0.098,0.101
2009-07-28,17,1.676,1.816
2009-07-28,18,0.511,2.003
2009-07-28,19,1.266,2.017
2009-07-28,20,0.511,0.573
2009-07-28,21,0.398,0.424
2009-07-28,22,0.416,0.475
2009-07-28,23,0.386,0.425
2009-07-28,24,0.402,0.423
2009-07-29,1,0.242,0.316
2009-07-29,2,0.22,0.243
2009-07-29,3,0.224,0.239
2009-07-29,4,0.222,0.231
2009-07-29,5,0.209,0.248
2009-07-29,6,0.209,0.262
2009-07-29,7,0.115,0.24
2009-07-29,8,0.143,0.528
2009-07-29,9,0.075,0.133
2009-07-29,10,0.353,0.655
2009-07-29,11,0.077,0.106
2009-07-29,12,0.083,0.105
2009-07-29,13,0.067,0.122
2009-07-29,14,0.067,0.124
2009-07-29,15,0.068,0.102
2009-07-29,16,0.069,0.089
2009-07-29,17,0.068,0.123
2009-07-29,18,1.71,2.921
2009-07-29,19,1.438,1.487
2009-07-29,20,0.354,0.599
2009-07-29,21,0.287,0.329
2009-07-29,22,0.382,0.464
2009-07-29,23,0.338,0.435
2009-07-29,24,0.246,0.29
2009-07-30,1,0.236,0.263
2009-07-30,2,0.193,0.245
2009-07-30,3,0.194,0.237
2009-07-30,4,0.205,0.223
2009-07-30,5,0.2,0.222
2009-07-30,6,0.197,0.245
2009-07-30,7,0.197,0.25
2009-07-30,8,0.094,0.175
2009-07-30,9,0.087,0.454
2009-07-30,10,0.135,0.189
2009-07-30,11,0.35,1.639
2009-07-30,12,0.084,0.132
2009-07-30,13,0.086,0.132
2009-07-30,14,0.096,0.124
2009-07-30,15,0.108,0.115
2009-07-30,16,0.127,0.492
2009-07-30,17,0.406,2.886
2009-07-30,18,1.36,5.667
2009-07-30,19,3.031,3.864
2009-07-30,20,0.385,0.851
2009-07-30,21,0.314,0.36
2009-07-30,22,0.439,0.463
2009-07-30,23,0.291,0.329
2009-07-30,24,0.246,0.285
2009-07-31,1,0.239,0.275
2009-07-31,2,0.137,0.172
2009-07-31,3,0.134,0.168
2009-07-31,4,0.115,0.133
2009-07-31,5,0.086,0.137
2009-07-31,6,0.086,0.138
2009-07-31,7,0.086,0.139
2009-07-31,8,0.086,0.445
2009-07-31,9,0.167,1.091
2009-07-31,10,0.124,1.49
2009-07-31,11,0.07,0.119
2009-07-31,12,0.31,0.343
2009-07-31,13,0.066,0.117
2009-07-31,14,0.066,0.119
2009-07-31,15,0.066,0.114
2009-07-31,16,0.072,0.48
2009-07-31,17,0.267,0.279
2009-07-31,18,0.193,0.298
2009-07-31,19,0.123,2.061
2009-07-31,20,0.398,0.883
2009-07-31,21,2.097,2.358
2009-07-31,22,0.468,1.365
2009-07-31,23,0.31,0.448
2009-07-31,24,0.259,0.309
2009-08-01,1,0.256,0.309
2009-08-01,2,0.256,0.298
2009-08-01,3,0.262,0.271
2009-08-01,4,0.259,0.311
2009-08-01,5,0.265,0.318
2009-08-01,6,0.27,0.31
2009-08-01,7,0.219,0.256
2009-08-01,8,0.111,0.417
2009-08-01,9,0.1,0.133
2009-08-01,10,0.648,1.378
